EmployeeID,FullName,Email,Phone,DateOfBirth,Address,SSN,JobTitle,Department,HireDate,Salary,Password
1,Susan Hardin,joshuataylor@dickerson-montgomery.com,+1-587-174-3735x231,2001-11-03,"212 Katherine Turnpike Suite 409, East Gabriel, TN 26518",784-28-1499,Museum/gallery conservator,Engineering,2021-07-22,120313,Y$([#{`m
2,Laura Price MD,dtrujillo@hotmail.com,001-551-912-9525x68284,1968-08-10,"297 Martinez Street, Callahanshire, OR 17945",677-36-3687,Copy,HR,2020-05-30,107462,vAln`*x{
3,Harold Cox,franciscomelendez@weaver.biz,001-544-480-0068x2146,1979-12-20,"236 Simmons Cliff, Mitchellville, NM 27949",660-67-6301,Gaffer,Engineering,2025-05-12,149253,$DWa^CPx
4,John Randall,dakotaaguirre@douglas-diaz.com,(120)991-0426,1988-10-14,"0494 Patrick Road, East Elizabethtown, IN 81717",394-24-6656,"Research officer, trade union",Finance,2015-11-23,69604,]:RQ/@k9
5,Rebecca Schneider,pthomas@hotmail.com,5002360944,1979-11-26,"337 Perez Turnpike, Donaldtown, AL 70685",625-43-1293,Technical sales engineer,Operations,2018-04-30,62279,smd@&<~.
6,Karen Williams,ysmith@jones-reed.info,(635)883-5128,1969-10-04,"PSC 5565, Box 9883, APO AE 22365",104-02-8509,Broadcast presenter,Operations,2017-05-05,93725,"W`,[#>qK"
7,Sarah Cochran,yorkjames@stevens-hines.com,(265)849-5317x11651,1992-12-02,"9903 Jessica Rapid, Amandastad, NM 40306",859-56-2965,Magazine features editor,Engineering,2015-07-20,138713,N[WZ\=e?
8,Jaime Shepherd,wfields@ferguson.com,737-281-4521,1977-06-20,"USNV Martin, FPO AA 74387",868-70-6199,Metallurgist,Engineering,2019-04-13,98771,"$,plCeun"
9,Jason Gallegos,christophervaldez@hotmail.com,870-689-7501x894,1976-01-07,"030 Williams Land, Chambersside, IA 50523",288-66-1696,Chartered public finance accountant,Marketing,2017-02-03,115309,UwsgS}2$
10,Jenna Gomez,jason87@gmail.com,+1-876-832-3044x12668,1969-06-09,"PSC 8476, Box 5163, APO AP 52227",604-12-9307,Conference centre manager,Operations,2024-10-14,54433,og#_CBiN
11,Raymond Jacobs,markwilson@yahoo.com,045.798.3523x9460,1971-03-03,"6100 Manning Turnpike, Danielfurt, IN 31282",749-54-8139,"Surveyor, planning and development",HR,2021-12-01,87968,N]NLBTfw
12,Jonathan Butler,spencergreg@brown-delgado.com,(606)115-4575x53998,1993-11-05,"32946 Roberts Light, East Emily, ID 54646",548-59-2774,"Therapist, art",Finance,2018-10-17,83815,1MbOg5cM
13,Lori Glenn,tabitha25@mcdonald.com,+1-811-247-6974x533,2000-06-19,"Unit 4978 Box 2966, DPO AE 18909",077-56-9094,Warehouse manager,IT,2021-07-07,122192,g&L_RhvL
14,Andrew Black,gblankenship@ramsey.biz,8474664119,1977-05-06,"6080 Kimberly Cape Apt. 215, Port John, SD 20413",079-39-5066,"Psychotherapist, child",IT,2020-02-28,105208,Id2'Sm|5
15,Tyler Stein,joshua48@johnson-oliver.info,683.210.5836,1981-06-21,"218 Boyd Loop Suite 620, New Stephen, IA 71341",241-28-6918,Insurance risk surveyor,Sales,2022-12-26,59359,@{:LN_6=
16,Becky Parks,duartecheryl@carson.net,(102)472-7095,1992-09-20,"093 Kevin Turnpike Apt. 937, East Cynthiabury, IL 49852",628-28-5003,"Engineer, civil (contracting)",Marketing,2022-10-10,103579,lUq)'CDY
17,Michele Vaughn,billy84@hotmail.com,001-225-322-4135x2733,1976-07-28,"4005 Weaver View, Mariaview, AL 22928",728-43-6486,Ophthalmologist,HR,2021-04-06,147165,#B0y1lP|
18,Christopher Cohen,amanda17@robinson.com,4004540751,1996-04-11,"291 Richards Meadow, New Royburgh, NE 68122",700-79-2075,Phytotherapist,Engineering,2019-12-14,75113,T]%`b1w[
19,Shelby Mccarty,michael03@hotmail.com,746.722.1564x7025,1981-02-20,"0469 Huynh Plaza Apt. 862, Lake Crystaltown, AR 96748",083-42-1144,"Chemist, analytical",Sales,2016-05-03,59764,0$Aj%N_r
20,Robert Mosley,bacosta@gmail.com,(863)886-1088x37689,1982-01-25,"7008 Morales Brooks Suite 881, South Stacychester, OK 66858",473-05-2930,"Loss adjuster, chartered",IT,2022-04-15,50831,5dr)P<u]
21,Kari Hart,parkermichael@cole.net,+1-505-987-0333x07664,1996-10-23,"51850 White Estates Apt. 737, New Michael, VA 23791",596-90-0102,"Clinical scientist, histocompatibility and immunogenetics",IT,2025-02-08,106337,+X%sgvGb
22,Alexander Ferguson,qkrueger@yahoo.com,946.031.6512,1984-10-21,"593 Berry Terrace, Katherinetown, DC 06711",024-95-2202,Computer games developer,IT,2024-03-26,137383,}rC4Zvtb
23,Mark Dickerson,xsanders@lewis.biz,+1-055-827-7264,1991-07-01,"78217 Maria Parks, West Billy, PA 94855",460-76-1870,Field seismologist,Marketing,2024-01-24,133068,sLHS2E=x
24,Ronald Morgan,medinaangela@kelly-mcdaniel.org,001-658-633-5010,1981-09-17,"25604 Alexis Trail, Ryanside, WY 18646",341-37-6335,Theatre director,IT,2021-02-25,107810,gW^)@Cq3
25,James Vasquez,staffordsteven@thomas.com,001-546-718-0509x35896,1979-06-15,"091 Miller Centers Apt. 380, East Davidchester, IL 09373",564-88-6753,Contracting civil engineer,Marketing,2018-08-19,99790,V!_DTUZE
26,Derrick Collins,sreed@tyler.com,(527)547-3818x45442,1978-03-13,"71371 Smith Manors Apt. 868, Baldwinport, MN 21388",391-49-6470,Aeronautical engineer,Operations,2016-11-08,99024,cG@M1UOp
27,Ryan Thomas,acarr@schaefer.net,001-094-3600,1993-01-17,"24910 Karen Street, North Kaitlynview, IL 47789",860-70-7399,Agricultural consultant,Engineering,2018-08-19,99759,)!0F7Z\@
28,Teresa Shannon,keith74@wagner.com,001-079-455-0437x115,1969-12-09,"25481 Jackson Via, Lake Justinfort, KY 69666",333-09-1890,Chartered management accountant,Sales,2018-04-24,143713,Wj`q<^$V
29,Brian Reeves,dennis99@hotmail.com,370.025.2242,1985-06-30,"8856 Bryan Creek Suite 349, South Erikaton, AL 66822",779-59-8291,Location manager,HR,2017-01-15,133908,"K"")|nzTu"
30,Benjamin Hart,amyhunter@gmail.com,493-142-9650,1990-07-26,"824 Morgan Terrace, Danielland, IL 37897",201-17-2680,Youth worker,Sales,2019-09-11,111472,/[e:*Oi$
31,Michelle Sanchez,romerocatherine@hotmail.com,464.527.4169x586,1995-10-27,"7038 Herrera Mission Apt. 530, Tamiberg, CA 55782",898-63-3302,Animal nutritionist,Engineering,2017-04-30,146476,H)YlG`~u
32,Tammy Craig,michelle09@mason-mueller.com,(940)176-5772x92580,1978-03-29,"349 Noah Expressway, Armstrongland, RI 34042",858-88-0364,Air broker,IT,2024-07-02,61908,OE;UL.5j
33,Penny Davis,vjohnson@hotmail.com,(806)548-4144x567,1980-12-01,"9804 Stephen Circle, Shellyview, CT 72406",234-57-7956,Best boy,IT,2016-04-13,127019,".<V[ZF""K"
34,Charles Tran,andrewseric@castillo.info,001-154-183-1809x79747,1982-10-06,"255 Castillo Squares Apt. 824, South Vanessa, OK 64293",497-50-2482,Government social research officer,Sales,2024-07-18,82145,+Wz?OHj'
35,Aaron Williams,doylemichael@yahoo.com,001-710-750-3335x33483,1980-04-03,"45957 Walton Pines, Brettborough, MD 55793",236-78-8460,"Psychologist, occupational",IT,2024-11-30,83045,"#V,-c21&"
36,Kathryn Holder,gina87@leonard.com,(027)622-3684,1978-10-21,"933 Brennan Fords, Joycebury, MN 96951",022-74-2889,Science writer,Operations,2019-04-24,143512,W9@}@+Yd
